F1,Improved
67.699,TRUE
67.819,TRUE
67.961,TRUE
66.934,TRUE
67.534,TRUE
67.574,TRUE
64.129,TRUE
67.779,TRUE
66.916,TRUE
67.283,TRUE
66.945,TRUE
67.436,TRUE
67.315,TRUE
67.162,TRUE
67.58,TRUE
66.586,TRUE
66.855,TRUE
68.064,TRUE
67.053,TRUE
66.575,TRUE
66.464,FALSE
66.503,FALSE
66.42,FALSE
66.078,FALSE
65.959,FALSE
66.749,FALSE
66.76,FALSE
65.866,FALSE
66.422,FALSE
66.286,FALSE
66.462,FALSE
65.798,FALSE
66.065,FALSE
66.585,FALSE
66.093,FALSE
65.168,FALSE
67.009,FALSE
65.916,FALSE
66.24,FALSE
66.585,FALSE
